image_id,file_name,file_path,width,height,mode,file_size
df189641,8.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/8.jpg,463,929,P,274887
e109c919,9.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/9.jpg,562,1000,RGB,273180
38cdfd2e,14.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/14.jpg,2448,2475,RGB,3089170
91455099,15.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/15.jpg,750,1000,RGB,353469
d2aa7bdb,17.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/17.jpg,900,1200,RGB,381970
11c76a0f,16.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/16.jpg,598,1600,L,362360
ae7f8531,12.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/12.jpg,768,1024,RGB,412043
0399dafe,13.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/13.jpg,737,745,RGB,246647
cca37e37,11.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/11.jpg,622,768,RGB,395354
6610eeaf,10.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/10.jpg,900,1200,RGB,754890
6cc12f8e,18.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/18.jpg,756,1008,RGB,558124
bfaed7fb,19.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/19.jpg,736,981,RGB,377267
331081e8,4.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/4.jpg,450,600,RGB,241809
0e3eb7d5,5.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/5.jpg,2268,4032,RGB,5396908
aeb0bc52,7.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/7.jpg,598,1600,L,362360
b66757b2,2.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/2.jpg,482,720,RGB,299285
3be0f0a3,3.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/3.jpg,720,960,RGB,328328
6143ead0,1.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/1.jpg,688,1024,RGB,583024
6991a3b5,0.jpg,/Users/jingweng/Desktop/liming_project/SnapLedger/multimodal-ai/receipt-multimodal-classification/scripts/../data/raw_images/0.jpg,612,1023,RGB,128440
